UNIQUE_ID,MONTH,AGE,GENDER,OFFENCE,OUTCOME,LENGTH,SERIOUSNESS,PREV_CONVICTIONS,APO_GREATER_HARM_1,APO_GREATER_HARM_2,APO_GREATER_HARM_3,APO_LESSER_HARM_1,APO_HIGHER_CULP_STAT_1,APO_HIGHER_CULP_STAT_2,APO_HIGHER_CULP_STAT_3,APO_HIGHER_CULP_STAT_4,APO_HIGHER_CULP_OTHER_1,APO_HIGHER_CULP_OTHER_2,APO_HIGHER_CULP_OTHER_3,APO_HIGHER_CULP_OTHER_4,APO_HIGHER_CULP_OTHER_5,APO_HIGHER_CULP_OTHER_6,APO_HIGHER_CULP_OTHER_7,APO_LOWER_CULP_1,APO_LOWER_CULP_2,APO_LOWER_CULP_3,APO_LOWER_CULP_4,APO_LOWER_CULP_5,APO_INCREASING_SER_STAT_1,APO_INCREASING_SER_STAT_2,APO_INCREASING_SER_STAT_NONE,APO_INCREASING_SER_OTHER_1,APO_INCREASING_SER_OTHER_2,APO_INCREASING_SER_OTHER_3,APO_INCREASING_SER_OTHER_4,APO_INCREASING_SER_OTHER_5,APO_INCREASING_SER_OTHER_6,APO_INCREASING_SER_OTHER_7,APO_INCREASING_SER_OTHER_8,APO_INCREASING_SER_OTHER_9,APO_INCREASING_SER_OTHER_10,APO_INCREASING_SER_OTHER_11,APO_INCREASING_SER_OTHER_12,APO_INCREASING_SER_OTHER_13,APO_INCREASING_SER_OTHER_14,APO_INCREASING_SER_OTHER_15,APO_INCREASING_SER_OTHER_16,APO_INCREASING_SER_OTHER_17,APO_INCREASING_SER_OTHER_18,APO_INCREASING_SER_OTHER_NONE,APO_REDUCING_SER_1,APO_REDUCING_SER_2,APO_REDUCING_SER_3,APO_REDUCING_SER_4,APO_REDUCING_SER_5,APO_REDUCING_SER_6,APO_REDUCING_SER_7,APO_REDUCING_SER_8,APO_REDUCING_SER_9,APO_REDUCING_SER_10,APO_REDUCING_SER_11,APO_REDUCING_SER_NONE,GUILT_IND_POLICE,GP_STAGE,GP_DISCOUNT,GP_FIRST_OPP,APO_SECTION29_OFFENCE
sc-apo-141234-006138,January,25 to 34,Male,Violet disorder,Immediate custody,Over 18 months and up to 3 years,No guideline,1 to 3,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,Significant degree of premeditation,Threatened/actual use of weapon/equivalent,-,-,-,Leading role in group or gang,-,-,-,-,-,-,Previous relevant convictions,Offence committed on bail,-,Location,-,On going effect on victim,-,Presence of others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Remorse,-,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",33%,Yes,Not Asked
sc-apo-141234-006139,January,25 to 34,Male,Violet disorder,Immediate custody,Over 18 months and up to 3 years,No guideline,None,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,Significant degree of premeditation,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,-,-,None stated,Location,-,On going effect on victim,-,Presence of others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,-,Good character/exemplary conduct,-,-,-,-,-,-,-,-,No,"On, or after, the day of trial",10%,No,Not Asked
sc-apo-141234-006140,October,25 to 34,Male,S.18,Immediate custody,4 Years,2,4 to 9,-,-,-,None stated,-,-,-,-,Significant degree of premeditation,Threatened/actual use of weapon/equivalent,Intention to cause more serious harm,Deliberately causes more harm than necessary,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,On going effect on victim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,Not Asked,-,Not Asked,Not Answered
sc-apo-141234-006141,June,25 to 34,Male,S.20,Immediate custody,Over 18 months and up to 3 years,2,4 to 9,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,On going effect on victim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Single blow,-,-,-,-,-,-,-,-,-,-,No,"On, or after, the day of trial",10%,No,Not Answered
sc-apo-141234-006142,September,45 to 54,Male,S.20,Immediate custody,Over 12 months and up to 18 months,2,1 to 3,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,-,-,On going effect on victim,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-141234-006143,February,18 to 24,Male,Affray,SSO,-,No guideline,None,Injury/fear of injury which is serious in context of the offence,-,Sustained or repeated assault on same person,None stated,-,-,-,-,Significant degree of premeditation,Threatened/actual use of weapon/equivalent,Intention to cause more serious harm,-,-,-,-,Subordinate role in group or gang,-,-,-,-,-,-,None stated,Location,-,-,-,Presence of others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,-,-,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",33%,Yes,Not Asked
sc-apo-141234-006144,April,18 to 24,Male,S.47,Immediate custody,Over 12 months and up to 18 months,1,1 to 3,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,-,-,-,-,Presence of others,-,-,Failure to comply with current court orders,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Age/lack of maturity affecting responsibility,-,-,-,-,Not Answered,Not Asked,-,Not Asked,Not Answered
sc-apo-141234-006145,January,35 to 44,Male,Common assault,CO,-,2,None,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,-,-,-,Targeting of vulnerable victim(s),-,-,-,-,Lack of premeditation,-,-,-,-,None stated,-,-,-,-,Presence of others,-,-,-,-,-,-,-,-,-,Previous violence/threats,-,-,-,-,No previous relevant convictions,Single blow,-,-,-,-,-,-,-,-,-,-,No,"On, or after, the day of trial",33%,Yes,Not Answered
sc-apo-141234-006146,April,35 to 44,Male,Common assault,CO,-,2,10 or more,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,After the PCMH but before the day of trial,25%,No,Not Answered
sc-apo-141234-006147,September,18 to 24,Male,S.47,CO,-,2,None,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,Targeting of vulnerable victim(s),-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,-,Remorse,Good character/exemplary conduct,-,-,Isolated incident,Age/lack of maturity affecting responsibility,-,-,-,-,Yes,"Up to, or at, the PCMH",-,Yes,Not Answered
