Sentencing.court,Step1HigherCulpA,Step1HigherCulpC,Step1HigherCulpD,Step1HigherCulpF,Step1HigherCulpG,Step1HigherCulpI,Step1HigherCulpJ,Step1HigherHarmA,Step1HigherHarmB,Step1HigherHarmC,Step1LowerCulpA,Step1LowerCulpB,Step1LowerCulpC,Step1LowerCulpD,Step1LowerCulpE,Step1LowerHarmA,Aggravating.3,Aggravating.5,Aggravating.9,Aggravating.19,Aggravating.25,Aggravating.26,Aggravating.28,Aggravating.37,Aggravating.44,Aggravating.45,Aggravating.54,Aggravating.55,Aggravating.70,Aggravating.72,Mitigating.3,Mitigating.6,Mitigating.16,Mitigating.20,Mitigating.22,Mitigating.24,Mitigating.25,Mitigating.29,Mitigating.33,Mitigating.36,Mitigating.39,pleafirst,disorder,affray,GBH,intent,common,custody
1,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,,good character,isolated incident,,,,no previous convictions,,genuine remorse,,,,affray,,,,
1,,,,,,,use of weapon,serious injury,,,,,,,,,,against public worker,,,,,,location,,,,,,under influence drugs/alcohol,,,,,,,,,,,,,,affray,,,,immediate custody
1,,,,,,,,,,,,,,,,,,,on bail,,,,,,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,affray,,,,immediate custody
1,,,,,,,,,,personally vulnerable,,,,,,,,,on bail,,,,,,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,affray,,,,immediate custody
1,,,,,,,,,,,,,,,,,,,on bail,,,,,,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,affray,,,,immediate custody
1,,,,,,,,,,,,,,,,,,,on bail,,,,,,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,affray,,,,immediate custody
1,,,,,,vulnerable victim,,,repeated assault,personally vulnerable,,,,,,,,,,,,failure to comply with court orders,gratuitous degradation,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,,,,,immediate custody
1,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,,addressing addiction,,,,,,,no previous convictions,primary carer,genuine remorse,,,,,,,,
1,,,,,,vulnerable victim,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,addressing addiction,,,,,,,,,,,,,,,,,
1,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,good character,,,,,,,genuine remorse,,,,,,,,
1,,,,,,,use of weapon,serious injury,repeated assault,personally vulnerable,,,,,,,,,,,,,,location,,ongoing effect,,,,,,,,,,,,no previous convictions,,,,early guilty plea,,,,,,immediate custody
1,,intent more harm,,,,,use of weapon,,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
1,,,,,,vulnerable victim,,,repeated assault,,,,,,,less serious injury,,,,,,,,location,,,,,timing of the offence,,,lack of maturity,,isolated incident,,,,no previous convictions,,,,,,,,,,
1,,intent more harm,leading role gang,premeditation,,,use of weapon,,,,,,,,,,,,,,,,,location,on licence,,,,timing of the offence,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
1,,,,premeditation,,,,,,,,,,,subordinate role gang,,,,,,,,,location,,,,,timing of the offence,,,,,,,,,no previous convictions,,,,,,,,,,
1,,,,premeditation,,,,,,,,,,,subordinate role gang,,,,,,,,,location,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
1,,,,,,,,serious injury,,,lack of premeditation,,,,,,,against public worker,,,,,,location,,ongoing effect,,,timing of the offence,under influence drugs/alcohol,,,,isolated incident,,,,,,,single blow,early guilty plea,,,,,,immediate custody
1,,,,,,vulnerable victim,,,,personally vulnerable,lack of premeditation,,,,,less serious injury,,,,,,,,location,,,,previous violence,,,,lack of maturity,,,,,,,,,,,,,,,,
1,,,,,,vulnerable victim,,,repeated assault,,,,,,,less serious injury,,,,,,,,location,,,,,timing of the offence,,,lack of maturity,,isolated incident,,,,no previous convictions,,,,,,,,,,
1,,,,,,,use of weapon,serious injury,,,,,,,,less serious injury,,,,,,,gratuitous degradation,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,premeditation,,,,,repeated assault,,,,,,,less serious injury,,,,,,,gratuitous degradation,,,,,,,,,,,,,medical condition,,,primary carer,genuine remorse,,,,,,,,
1,,,leading role gang,,,vulnerable victim,use of weapon,,repeated assault,,,,,,,,,against public worker,,,,,,location,,,,,timing of the offence,,,lack of maturity,good character,,,,,,,,,,,,,,,
1,,,,,,,,serious injury,repeated assault,,,,provocation,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,,,,,,,,
1,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,no previous convictions,,genuine remorse,,,,,,,,immediate custody
1,,,,,,vulnerable victim,,serious injury,repeated assault,personally vulnerable,,,,,,,,,,,,,,,,,,previous violence,,,,,,,,,,,,genuine remorse,,early guilty plea,,,,,,immediate custody
1,,,,,,,,,,personally vulnerable,,,,,,,,,,,,,,location,,ongoing effect,,,timing of the offence,,,,,,,,,,,,,,,,,,,
