Sentencing.court,Aggravating.72,Mitigating.36,disorder,affray,GBH,intent,common,custody
1,,genuine remorse,,affray,,,,
1,under influence drugs/alcohol,,,affray,,,,immediate custody
1,under influence drugs/alcohol,,,affray,,,,immediate custody
1,under influence drugs/alcohol,,,affray,,,,immediate custody
1,under influence drugs/alcohol,,,affray,,,,immediate custody
1,under influence drugs/alcohol,,,affray,,,,immediate custody
1,under influence drugs/alcohol,,,,,,,immediate custody
1,,genuine remorse,,,,,,
1,,,,,,,,
1,,genuine remorse,,,,,,
1,,,,,,,,immediate custody
1,,,,,,,,immediate custody
1,,,,,,,,
1,under influence drugs/alcohol,,,,,,,immediate custody
1,,,,,,,,
1,,,,,,,,immediate custody
1,under influence drugs/alcohol,,,,,,,immediate custody
1,,,,,,,,
1,,,,,,,,
1,,,,,,,,
1,,genuine remorse,,,,,,
1,,,,,,,,
1,,genuine remorse,,,,,,
1,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
1,,genuine remorse,,,,,,immediate custody
1,,,,,,,,
1,,,,,,,,
1,,,,,,,,immediate custody
1,,,,,,,,
1,,genuine remorse,,,,,,
1,,genuine remorse,,,grievous bodily harm,,,immediate custody
1,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
1,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
1,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
1,,,,,grievous bodily harm,,,immediate custody
1,under influence drugs/alcohol,,,,grievous bodily harm,,,immediate custody
1,,,,,grievous bodily harm,,,immediate custody
1,,genuine remorse,,,,,common assault,
7,,,,,,,,
7,,genuine remorse,,,,,,
7,under influence drugs/alcohol,,,,,,,immediate custody
7,,genuine remorse,,,,,,
7,,genuine remorse,,,,,,
7,,genuine remorse,,,,,,
7,,genuine remorse,,,,,,
7,under influence drugs/alcohol,,,,,,,immediate custody
7,,,,,,,,
7,,genuine remorse,,,,,,
7,,genuine remorse,,,,,,immediate custody
7,under influence drugs/alcohol,,,,,,,immediate custody
7,,genuine remorse,,,,,,
7,under influence drugs/alcohol,,,,,,,immediate custody
7,,genuine remorse,,,,,,
7,,genuine remorse,,,,,,
7,under influence drugs/alcohol,genuine remorse,,,,,,
7,under influence drugs/alcohol,,,,,,,
7,,,,,,,,immediate custody
7,under influence drugs/alcohol,genuine remorse,,,,,,
7,under influence drugs/alcohol,,,,,,,
7,under influence drugs/alcohol,genuine remorse,,,,,,
7,under influence drugs/alcohol,genuine remorse,,,,,,
7,under influence drugs/alcohol,,,,,,,
7,,genuine remorse,,,,,,
7,under influence drugs/alcohol,genuine remorse,,,,,,
7,,genuine remorse,,,,,,
7,,genuine remorse,,,,,,immediate custody
7,under influence drugs/alcohol,,,,,,,immediate custody
7,,,,,,,,immediate custody
7,,,,,,,,immediate custody
7,,,,,,,,
7,under influence drugs/alcohol,genuine remorse,,,,,,
7,,genuine remorse,,,,,,immediate custody
7,under influence drugs/alcohol,,,,,,,immediate custody
7,,,,,,,,immediate custody
7,,,,,,,,
7,under influence drugs/alcohol,,,,,,,immediate custody
7,under influence drugs/alcohol,,,,,,,
7,,,,,,,,immediate custody
7,,genuine remorse,,,,,,
7,,genuine remorse,,,,,,
7,,,,,,,,
7,,,,affray,,,,
7,,genuine remorse,,affray,,,,
7,under influence drugs/alcohol,genuine remorse,,affray,,,,
7,,,,affray,,,,
7,,,,affray,,,,
7,,,,affray,,,,
7,,,,affray,,,,
7,under influence drugs/alcohol,,,,,,common assault,immediate custody
7,,,,,,,common assault,immediate custody
7,under influence drugs/alcohol,genuine remorse,,,,,common assault,
7,,,,,,,common assault,
7,,,,,,,common assault,
7,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
7,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
7,under influence drugs/alcohol,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,grievous bodily harm with intent,,immediate custody
7,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,,grievous bodily harm with intent,,immediate custody
7,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
7,,,,,grievous bodily harm,,,
7,,genuine remorse,,,grievous bodily harm,,,
7,,genuine remorse,,,grievous bodily harm,,,
7,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
7,,genuine remorse,,,grievous bodily harm,,,
7,,genuine remorse,,,grievous bodily harm,,,immediate custody
7,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
7,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
7,,,,,grievous bodily harm,,,immediate custody
7,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,immediate custody
7,,,,,grievous bodily harm,,,
7,,genuine remorse,,,grievous bodily harm,,,
7,,genuine remorse,,,grievous bodily harm,,,
7,,,,,grievous bodily harm,,,immediate custody
7,,,,,grievous bodily harm,,,immediate custody
7,,genuine remorse,,,grievous bodily harm,,,immediate custody
7,under influence drugs/alcohol,genuine remorse,,,grievous bodily harm,,,
7,,,,,grievous bodily harm,,,immediate custody
7,,,,,grievous bodily harm,,,
NA,,genuine remorse,,affray,,,,
NA,,,,affray,,,,
NA,,,,,,,,
NA,,,,,,,,
NA,,,,,,,,
NA,,,,,,,,immediate custody
NA,,genuine remorse,,,,,,immediate custody
NA,,,,,,,,
NA,,genuine remorse,,,,,,immediate custody
NA,,,,,,,,
NA,,,,,,,,
NA,,,,,,,,immediate custody
NA,,genuine remorse,,,,,,
NA,,genuine remorse,,,,,,immediate custody
NA,,,,,,,,immediate custody
NA,under influence drugs/alcohol,genuine remorse,,,,,,
NA,,genuine remorse,,,grievous bodily harm,,,
NA,,,,,grievous bodily harm,,,immediate custody
NA,under influence drugs/alcohol,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
NA,,,,,,grievous bodily harm with intent,,immediate custody
NA,,,,,,grievous bodily harm with intent,,immediate custody
NA,,,,,,grievous bodily harm with intent,,immediate custody
NA,,genuine remorse,,,,grievous bodily harm with intent,,immediate custody
NA,under influence drugs/alcohol,,,,,grievous bodily harm with intent,,immediate custody
NA,,,,,,,common assault,
3,,genuine remorse,,,,,common assault,
3,under influence drugs/alcohol,genuine remorse,,,,,common assault,immediate custody
3,under influence drugs/alcohol,,,affray,,,,
3,under influence drugs/alcohol,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,genuine remorse,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,
3,,,,,,,,
3,under influence drugs/alcohol,,,,,,,
3,,,,,,,,immediate custody
3,,genuine remorse,,,,,,immediate custody
3,,,,,,,,
3,,genuine remorse,,,,,,
3,,genuine remorse,,,,,,
3,,,,,,,,
3,under influence drugs/alcohol,,,,,,,
3,under influence drugs/alcohol,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,under influence drugs/alcohol,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,immediate custody
3,,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,genuine remorse,,,,,,immediate custody
3,,,,,,,,immediate custody
3,under influence drugs/alcohol,,,,,,,
3,under influence drugs/alcohol,,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,
3,,,,,,,,
3,,genuine remorse,,,,,,
3,,,,,,,,
3,,,,,,,,
3,under influence drugs/alcohol,genuine remorse,,,,,,
3,,genuine remorse,,,,,,
3,,,,,,,,
3,,genuine remorse,,,,,,immediate custody
3,,,,,,,,
3,under influence drugs/alcohol,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,genuine remorse,,,,,,
3,,genuine remorse,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,under influence drugs/alcohol,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,under influence drugs/alcohol,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,
3,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
3,,genuine remorse,,,,,,
3,,,,,,,,
3,,genuine remorse,,,,,,
3,,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,genuine remorse,,,,,,immediate custody
3,under influence drugs/alcohol,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,,genuine remorse,,,,,,
3,,genuine remorse,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,
3,,,,,,,,
3,under influence drugs/alcohol,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,under influence drugs/alcohol,,,,,,,immediate custody
3,,genuine remorse,,,,,,
3,,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,genuine remorse,,,,,,
3,,,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,immediate custody
3,,,,,,,,
3,,genuine remorse,,,,,,
3,,,,,,,,immediate custody
3,,,,,,,,
3,,genuine remorse,,,,,,
3,,,,,,,,
3,,,,,,,,
3,,,,affray,,,,immediate custody
3,,,,affray,,,,immediate custody
3,under influence drugs/alcohol,,,affray,,,,
3,,,,affray,,,,immediate custody
3,,,,affray,,,,
3,,,,affray,,,,
3,under influence drugs/alcohol,genuine remorse,,,,,,immediate custody
3,under influence drugs/alcohol,,,,,,,
3,under influence drugs/alcohol,,,,,,,
3,,,,,,,,immediate custody
3,under influence drugs/alcohol,,,affray,,,,
3,,,,affray,,,,
3,,,,affray,,,,
3,,,,affray,,,,immediate custody
3,under influence drugs/alcohol,,,affray,,,,immediate custody
3,under influence drugs/alcohol,genuine remorse,,affray,,,,
3,,,,affray,,,,immediate custody
3,,genuine remorse,,affray,,,,
3,,genuine remorse,,affray,,,,
3,under influence drugs/alcohol,,,affray,,,,
3,,,,affray,,,,
3,,,,affray,,,,
3,,,,affray,,,,immediate custody
3,,,,affray,,,,
3,,,,affray,,,,immediate custody
3,,,,affray,,,,
3,,,,affray,,,,
3,,,,affray,,,,
3,,,,affray,,,,
3,,,,affray,,,,
3,,,,,,,common assault,immediate custody
3,,,,,,,common assault,
3,,,,,,,common assault,immediate custody
3,,genuine remorse,,,,,common assault,immediate custody
3,,,,,,,common assault,immediate custody
3,,,,,,,common assault,
