quarter,avgleng,cust,susp,com,fine,absdis,condis
Sep-17,60.6,4206,1104,1318,83,25,79
Jun-17,59.39,4318,1137,1423,76,23,86
Mar-17,60.1,4447,1093,1430,80,19,93
Dec-16,60.02,4423,1127,1486,81,16,88
Sep-16,60.55,4365,1046,1553,83,9,83
Jun-16,61.55,4257,977,1601,98,9,84
Mar-16,61.18,4183,895,1585,108,11,75
Dec-15,61.87,4106,858,1545,104,10,81
Sep-15,62.47,4011,847,1504,96,10,88
Jun-15,62.33,3958,854,1485,93,10,92
Mar-15,62.95,3771,808,1493,102,7,89
Dec-14,61.96,3687,721,1497,119,7,87
Sep-14,60.74,3577,651,1479,127,7,86
Jun-14,59.51,3532,609,1390,134,4,89
Mar-14,58.56,3488,590,1389,133,4,93
Dec-13,59.06,3360,581,1354,125,5,91
Sep-13,57.27,3375,547,1404,122,5,85
Jun-13,57.15,3259,502,1435,123,4,75
Mar-13,56.47,3257,473,1429,107,6,82
Dec-12,54.48,3397,477,1512,101,8,92
Sep-12,54.37,3399,491,1489,99,9,100
Jun-12,54.15,3442,495,1591,97,12,106
Mar-12,53.24,3416,520,1634,107,12,95
Dec-11,53.5,3413,503,1646,120,8,89
Sep-11,53.3,3443,487,1708,120,8,98
Jun-11,51.67,3438,497,1700,116,6,109
Mar-11,50.6,3365,467,1664,114,6,124
Dec-10,48.98,3259,450,1641,106,7,127
Sep-10,48.74,3184,452,1532,108,9,117
Jun-10,48.38,3081,428,1466,111,9,102
Mar-10,48.4,3043,399,1457,98,8,87
Dec-09,49.28,2940,402,1388,84,8,86
Sep-09,47.71,2865,375,1383,78,5,87
Jun-09,47.4,2869,374,1335,69,6,99
Mar-09,46.77,2930,394,1334,82,6,122
Dec-08,44.53,2952,406,1360,89,7,125
Sep-08,43.98,2915,419,1378,105,8,141
Jun-08,43.56,2845,408,1384,108,8,139
Mar-08,43.15,2754,421,1367,106,11,146
Dec-07,43.22,2777,423,1359,130,11,157
Sep-07,42.91,2769,425,1338,133,13,152
Jun-07,42.3,2813,382,1310,159,19,147
Mar-07,41.65,2824,340,1311,175,14,132
Dec-06,41.11,2787,290,1332,164,17,139
