Year,Total,Immediate,Suspended,Community,Fine,Other,Length
1999,1407998,105323,3161,151633,992420,155461,11.5
2000,1424349,106187,3072,155538,1013347,146205,11.4
2001,1348484,106273,2755,164997,930121,144348,11.8
2002,1419608,111607,2519,186520,972737,146224,12.6
2003,1489827,107670,2717,191422,1033617,154401,12.6
2004,1547352,106322,2855,201503,1082690,153982,12.9
2005,1482453,101236,9666,204247,1025064,142240,12.6
2006,1420477,96013,33508,190818,961473,138665,12.4
2007,1414742,95206,40688,196424,941534,140890,12.4
2008,1362064,99525,41151,190172,890296,140920,13.3
2009,1406905,100231,45157,195977,946146,119394,13.7
2010,1365347,101513,48118,189333,893931,132452,13.7
2011,1312739,106170,48153,177603,856808,124005,14.3
2012,1229807,98044,44643,151183,823290,112647,14.5
2013,1177133,92966,48765,126535,799747,109120,15.5
2014,1215697,91313,52979,112638,853336,105431,15.6
2015,1246949,90348,57072,114286,891922,93321,16.2
2016,1238035,89812,56317,102938,910704,78264,16.4
2017,1201879,86275,53148,95112,896611,70733,16.9
