court_name,males_perc,age_0_9_perc,age_18_25_perc,age_45._perc,single_perc,eth_white_perc,eth_asian_perc,eth_black_perc,birth_UK_perc,christian_perc,muslim_perc,social_rented_perc,house_owned_perc,no_central_heating_perc,job_unemployed_perc
1,0.517593644,0.108967083,0.140181612,0.566401816,0.472556894,0.778093076,0.135641317,0.036889898,0.785471056,0.471055619,0.077752554,0.103211009,0.431192661,0.050458716,0.038979447
NA,0.507323569,0.075898802,0.091877497,0.681757656,0.340046476,0.966045273,0.014647137,0.003328895,0.932756325,0.587217044,0.004660453,0.193504736,0.564276049,0.050067659,0.029516995
2,0.498804781,0.135458167,0.126693227,0.545816733,0.438665358,0.796812749,0.110756972,0.067729084,0.807968127,0.515537849,0.039840637,0.438448567,0.327150084,0.053962901,0.065031983
3,0.525274725,0.010989011,0.691208791,0.184615385,0.903333333,0.408791209,0.4,0.112087912,0.452747253,0.376923077,0.083516484,0.52284264,0.076142132,0.060913706,0.033745782
4,0.505931879,0.075009568,0.202449292,0.500191351,0.666237666,0.657481822,0.115575966,0.150019135,0.59395331,0.459624952,0.068120934,0.415992812,0.203953279,0.047619048,0.047512326
5,0.535836177,0.034129693,0.208191126,0.587030717,0.55353902,0.744027304,0.126279863,0.066552901,0.747440273,0.513651877,0.071672355,0.515463918,0.095360825,0.048969072,0.030172414
6,0.487411883,0.093655589,0.110775428,0.637462236,0.31884058,0.885196375,0.083585096,0.01510574,0.840886203,0.587109768,0.041289023,0.100917431,0.486238532,0.032110092,0.01369863
7,0.617263844,0.099348534,0.258957655,0.359934853,0.677655678,0.5,0.24267101,0.078175896,0.376221498,0.363192182,0.288273616,0.127071823,0.093922652,0.074585635,0.062385321
8,0.554222649,0.020153551,0.64731286,0.18378119,0.899259259,0.803742802,0.099808061,0.037428023,0.720729367,0.272552783,0.034548944,0.145139814,0.111850866,0.119840213,0.019287834
9,0.5239819,0.132126697,0.11040724,0.568325792,0.425339367,0.71040724,0.264253394,0.004524887,0.832579186,0.471493213,0.242533937,0.261506276,0.410041841,0.064853556,0.073934837
NA,0.475222363,0.091486658,0.074968234,0.672172808,0.347119645,0.963151207,0.013977128,0.007623888,0.869123253,0.584498094,0.001270648,0.178484108,0.491442543,0.017114914,0.022298456
NA,0.504424779,0.205582029,0.111640572,0.507828455,0.459485224,0.982300885,0.008168822,0,0.98298162,0.427501702,0.005445882,0.660347551,0.251184834,0.030015798,0.119387755
10,0.544271926,0.082249266,0.206462442,0.534620227,0.611558503,0.81619807,0.098195552,0.015107008,0.671842216,0.377675199,0.048678137,0.234642497,0.375629406,0.032225579,0.031390135
11,0.442622951,0.097730139,0.43442623,0.331021438,0.644314869,0.880201765,0.054854981,0.036569987,0.818411097,0.534678436,0.02332913,0.3,0.203773585,0.022641509,0.02890625
12,0.63800905,0.049773756,0.334841629,0.339366516,0.755980861,0.606334842,0.185520362,0.004524887,0.538461538,0.20361991,0.248868778,0.036231884,0.123188406,0.094202899,0.014423077
13,0.565899582,0.05125523,0.207112971,0.574267782,0.55441008,0.941422594,0.048117155,0.00209205,0.860878661,0.589958159,0.029288703,0.091976517,0.356164384,0.046966732,0.049757282
NA,0.494577007,0.065798988,0.13087491,0.661605206,0.410801964,0.946493131,0.037599422,0.003615329,0.866232827,0.635574837,0.011569053,0.184379001,0.432778489,0.04737516,0.058242843
14,0.529487179,0.065384615,0.119230769,0.558974359,0.622377622,0.856410256,0.064102564,0.016666667,0.811538462,0.512820513,0.01025641,0.076419214,0.397379913,0.030567686,0.045731707
15,0.504084967,0.040849673,0.111928105,0.697712418,0.464874241,0.955065359,0.02124183,0.005718954,0.883169935,0.58496732,0.006535948,0.161785216,0.410041841,0.023709902,0.056795132
16,0.427906977,0.046511628,0.115116279,0.726744186,0.376425856,0.952325581,0.03372093,0.001162791,0.876744186,0.662790698,0.005813953,0.241106719,0.490118577,0.0256917,0.027777778
17,0.621026895,0.032396088,0.702933985,0.153422983,0.863520408,0.569070905,0.209657702,0.098410758,0.604523227,0.437652812,0.13202934,0.186111111,0.225,0.036111111,0.019442644
18,0.523959979,0.114797262,0.092153765,0.591363876,0.470588235,0.541864139,0.256977357,0.131121643,0.592943655,0.480779358,0.05897841,0.277133825,0.298208641,0.025289779,0.067921991
19,0.58178603,0.061007958,0.222811671,0.512820513,0.634263715,0.744473917,0.090185676,0.07515473,0.707338638,0.463306808,0.091954023,0.434146341,0.084552846,0.042276423,0.104887984
NA,0.496535797,0.089491917,0.075057737,0.703233256,0.331972789,0.978060046,0.012702079,0.000577367,0.965357968,0.636258661,0.006351039,0.185860889,0.619156214,0.068415051,0.038174274
20,0.539806996,0.133293124,0.138118215,0.518094089,0.477221807,0.708082027,0.212907117,0.023522316,0.635705669,0.467430639,0.174306393,0.101321586,0.395007342,0.049926579,0.15
21,0.510869565,0.059782609,0.099637681,0.714371981,0.360982084,0.951690821,0.028381643,0.009661836,0.922101449,0.601449275,0.006038647,0.195205479,0.542237443,0.02283105,0.033883579
22,0.602209945,0.006906077,0.593922652,0.313075506,0.796918768,0.919429098,0.047882136,0.008287293,0.880294659,0.472836096,0.010128913,0.106060606,0.32034632,0.047619048,0.017378352
23,0.489904357,0.061105207,0.258235919,0.541445271,0.576093294,0.848565356,0.105207226,0.009564293,0.780021254,0.458023379,0.023379384,0.22462203,0.396328294,0.037796976,0.030051151
