Court,Interview.rooms.available,Defendants.family.room,Witness.room,Video,Electronic.Presentation.of.Evidence,Wifi,Volume
1,1,0,0,1,0,0,1171
2,1,0,0,1,0,1,1996
3,1,0,0,1,1,0,4226
4,1,0,0,1,0,1,2141
5,1,0,0,1,0,1,2003
6,1,0,0,1,0,1,820
7,1,0,1,1,0,1,3183
8,1,1,0,1,1,1,2660
9,1,0,0,1,0,1,1140
10,1,0,0,1,0,1,822
11,1,0,0,1,0,1,998
12,1,0,1,1,0,1,3155
13,0,0,0,1,0,1,1152
14,0,0,0,1,0,1,1966
15,1,0,0,1,0,1,1393
16,1,0,0,1,0,0,461
17,1,0,0,0,0,0,849
18,1,0,0,1,0,1,2272
19,1,0,0,0,0,0,2088
20,0.87654321,0.024691358,0.12345679,0.864197531,0.086419753,0.703703704,866
21,1,0,0,0,0,0,217
22,0,0,0,1,0,1,1136
23,1,0,0,1,0,1,1090
24,1,0,0,1,1,1,712
25,1,0,0,1,0,0,1038
26,0,0,0,1,0,1,1287
27,1,0,0,1,0,1,2073
28,1,0,0,1,0,1,2921
29,1,0,0,1,1,1,1123
30,1,0,0,1,0,1,3363
31,1,0,0,1,0,1,2380
32,1,0,0,1,0,1,3991
33,1,0,0,1,0,1,2210
35,1,0,0,1,0,1,880
37,1,0,0,1,0,1,1351
38,1,0,0,1,0,0,1990
39,1,0,0,1,0,1,3435
40,0,0,0,1,0,0,3239
41,1,0,1,1,0,1,933
42,1,0,0,1,0,1,1312
43,1,0,0,1,0,1,4032
44,1,0,1,1,0,1,415
45,1,0,0,0,1,1,1361
46,1,0,0,1,0,1,1518
47,1,0,1,1,0,0,2806
48,1,0,0,1,0,1,878
49,1,0,0,1,0,1,1212
50,0,0,1,1,0,0,811
51,0,0,0,0,0,1,1075
52,1,0,0,1,0,0,4120
53,1,0,0,0,0,1,1748
54,1,0,0,1,0,1,2712
55,1,0,0,0,0,0,514
56,1,0,0,1,0,1,4095
57,1,0,0,1,0,1,1276
58,1,0,0,1,0,1,2763
60,1,0,0,1,1,1,977
61,1,0,0,1,0,1,1098
59,1,0,0,1,0,1,1575
62,1,0,1,1,0,0,1670
63,0,0,0,1,0,0,533
64,1,0,0,0,0,0,716
65,1,0,0,1,0,1,2086
66,1,0,0,1,0,0,745
67,1,0,0,1,0,1,810
68,1,0,0,1,1,1,1006
69,1,0,0,1,0,1,2408
70,1,0,0,1,0,1,2442
71,1,0,0,1,0,1,1822
72,1,0,0,0,0,1,1172
73,1,1,1,1,0,1,1149
