Year,Total,Immediate,Suspended,Community,Fine,Other,Length
1999,341664,79788,2547,97748,92121,69460,14.2
2000,326210,80784,2453,97948,82110,62915,14
2001,323203,80273,2139,102063,77466,61262,14.7
2002,336744,85151,1963,110768,78470,60392,15.5
2003,332466,80794,2055,109549,77097,62971,15.7
2004,315806,79938,2143,111013,63999,58713,16.1
2005,305504,76291,5611,111724,57382,54496,15.8
2006,301394,73528,20798,102952,50603,53513,15.3
2007,311191,74037,27254,105142,48452,56306,15.2
2008,314941,79058,28455,102783,48736,55909,16
2009,326592,80265,31131,107995,55351,51850,16.5
2010,347422,82939,34176,108507,59437,62363,16.2
2011,341794,87507,34422,102186,58278,59401,16.8
2012,306089,81059,31883,84551,53667,54929,17
2013,291300,77960,35531,69773,53187,54849,18
2014,280330,75773,38937,58930,52993,53697,18.3
2015,263227,74362,41569,57385,46041,43870,19.2
2016,242510,73944,40049,49799,42560,36158,19.4
2017,223699,71182,37767,45063,38285,31402,20
